question,answer,context,ground_truth,quality_tier,num_relevant,num_distractors,ragas_hallucinated,ragas_faithfulness,nli_hallucinated,nli_entailment_prob,lexical_hallucinated,lexical_overlap,ground_truth_hallucinated
where did they film hot tub time machine,"don't know. The provided context does not mention where they filmed ""Hot Tub Time Machine.""",[],['Fernie Alpine Resort'],low,1,4,True,0.0,False,0.5,True,0.0,True
who has the right of way in international waters,e provided context does not contain information about the right of way in international waters.,[],['Neither vessel'],low,1,4,True,0.0,False,0.5,False,0.5,True
who does annie work for attack on titan,don't know. There is no information provided in the given context about Annie working for Attack on Titan.,[],['Marley'],low,1,4,False,0.5,False,0.5,True,0.0,True
when was the immigration reform and control act passed,"don't know, the provided context does not mention the Immigration Reform and Control Act.",[],"['November\xa06, 1986']",low,1,4,True,0.0,False,0.5,True,0.0,True
when was puerto rico added to the usa,don't know. The provided context does not contain information about when Puerto Rico was added to the USA.,[],['1950'],low,1,4,True,0.0,False,0.5,True,0.0,True
who has been chosen for best supporting actress in 64 national filmfare award,don't know. The provided context does not contain information about the 64th National Filmfare Awards or the best supporting actress category.,[],['Zaira Wasim'],low,1,4,True,0.0,False,0.5,True,0.0,True
which side of the white house is the front,"don't know, the provided context does not contain information about the White House or its location.",[],['North'],low,1,4,True,0.0,False,0.5,True,0.0,True
names of the metropolitan municipalities in south africa,don't know. The provided context does not contain information about the names of metropolitan municipalities in South Africa.,[],"['Mangaung Metropolitan Municipality', 'Nelson Mandela Bay Metropolitan Municipality', 'eThekwini Metropolitan Municipality', 'City of Tshwane Metropolitan Municipality', 'City of Johannesburg Metropolitan Municipality', 'Buffalo City Metropolitan Municipality', 'City of Ekurhuleni Metropolitan Municipality']",low,1,4,False,0.5,False,0.5,True,0.0,True
who's hosting the super bowl in 2019,don't know. The provided context does not mention the host of the Super Bowl in 2019.,[],"['Atlanta, Georgia']",low,1,4,False,0.5,False,0.5,True,0.0,True
in which year vivo launch its first phone in india,"don't know, there is no information provided in the context about Vivo launching its first phone in India.",[],['2014'],low,1,4,True,0.0,False,0.5,True,0.0,True
where does it talk about mary magdalene in the bible,don't know. The context provided does not mention Mary Magdalene.,[],['New Testament'],low,1,4,True,0.0,False,0.5,True,0.0,True
who carries the nuclear football for the president,don't know. The provided context does not mention who carries the nuclear football for the president.,[],['aide-de-camp'],low,1,4,True,0.0,False,0.5,True,0.0,True
what is the origin of the name cynthia,don't know. The provided context does not contain information about the origin of the name Cynthia.,[],['Greek'],low,1,4,False,0.5,False,0.5,True,0.0,True
who is the guy who voiced disney channel,don't know. The provided context does not mention the person who voiced the Disney Channel.,[],"['""Buzz"" Brainard', 'Cameron']",low,1,4,True,0.0,False,0.5,True,0.0,True
what's the legal marriage age in new york,don't know. The provided context does not contain information about the legal marriage age in New York.,[],['18'],low,1,4,False,0.5,False,0.5,True,0.0,True
when do the red hot chili peppers tour,don't know. The provided context does not mention the Red Hot Chili Peppers or their tour dates.,[],['March 2018'],low,1,4,True,0.0,False,0.5,True,0.0,True
who plays mavis in the movie hotel transylvania,"don't know. The provided context does not mention anything about a movie called ""Hotel Transylvania"" or a character named Mavis.",[],"['Sadie Sandler', 'Selena Gomez']",low,1,4,True,0.0,False,0.5,True,0.0,True
