question,ground_truth,answer,quality_tier,num_relevant,num_distractors,ragas_hallucinated,ragas_faithfulness,nli_hallucinated,nli_entailment_prob,lexical_hallucinated,lexical_overlap,ground_truth_hallucinated
where did they film hot tub time machine,['Fernie Alpine Resort'],"don't know, the provided context does not mention where they filmed ""Hot Tub Time Machine.""",medium,2,3,,,,,True,0.05,True
who has the right of way in international waters,['Neither vessel'],"don't know, the provided context does not contain information about the right of way in international waters.",medium,2,3,,,,,False,0.55,True
who does annie work for attack on titan,['Marley'],don't know. The provided context does not mention anything about Annie working for Attack on Titan.,medium,2,3,,,,,True,0.125,True
when was the immigration reform and control act passed,"['November\xa06, 1986']",don't know. The provided context does not mention the Immigration Reform and Control Act.,medium,2,3,,,,,False,0.3333333333333333,True
when was puerto rico added to the usa,['1950'],don't know. The provided context does not contain information about when Puerto Rico was added to the USA.,medium,2,3,,,,,False,0.6,True
who has been chosen for best supporting actress in 64 national filmfare award,['Zaira Wasim'],"don't know, there is no information provided in the context about the winner of the Best Supporting Actress category in 64 National Filmfare Awards.",medium,2,3,,,,,True,0.10714285714285714,True
which side of the white house is the front,['North'],don't know. The provided context does not contain information about the White House or its location.,medium,2,3,,,,,False,0.3055555555555556,True
names of the metropolitan municipalities in south africa,"['Mangaung Metropolitan Municipality', 'Nelson Mandela Bay Metropolitan Municipality', 'eThekwini Metropolitan Municipality', 'City of Tshwane Metropolitan Municipality', 'City of Johannesburg Metropolitan Municipality', 'Buffalo City Metropolitan Municipality', 'City of Ekurhuleni Metropolitan Municipality']",don't know. The provided context does not mention the names of the metropolitan municipalities in South Africa.,medium,2,3,,,,,False,0.75,True
who's hosting the super bowl in 2019,"['Atlanta, Georgia']",don't know. The provided context does not contain information about the host of the Super Bowl in 2019.,medium,2,3,,,,,False,0.6,True
in which year vivo launch its first phone in india,['2014'],don't know. The provided context does not contain information about the launch of Vivo's first phone in India.,medium,2,3,,,,,False,0.4242424242424242,True
where does it talk about mary magdalene in the bible,['New Testament'],don't know. The provided context does not mention Mary Magdalene.,medium,2,3,,,,,False,0.3214285714285714,True
who carries the nuclear football for the president,['aide-de-camp'],don't know. The context provided doesn't contain information about the nuclear football carried for the president.,medium,2,3,,,,,False,0.5454545454545454,True
what is the origin of the name cynthia,['Greek'],don't know. The provided context does not contain information about the origin of the name Cynthia.,medium,2,3,,,,,False,0.3055555555555556,True
who is the guy who voiced disney channel,"['""Buzz"" Brainard', 'Cameron']","don't know, the provided context does not mention anything about the guy who voiced Disney Channel.",medium,2,3,,,,,True,0.05,True
what's the legal marriage age in new york,['18'],don't know. The context doesn't provide information about the legal marriage age in New York City.,medium,2,3,,,,,False,0.6666666666666666,True
when do the red hot chili peppers tour,['March 2018'],don't know. The provided context does not contain information about the Red Hot Chili Peppers touring.,medium,2,3,,,,,True,0.25,True
who plays mavis in the movie hotel transylvania,"['Sadie Sandler', 'Selena Gomez']","don't know. The provided context does not mention who plays Mavis in the movie ""Hotel Transylvania"".",medium,2,3,,,,,True,0.21666666666666667,True
what is the channel number for cartoon network on spectrum,"['768 (HD)', '68 (SD)']",don't know. The provided context does not contain information about the channel number for Cartoon Network on spectrum.,medium,2,3,,,,,True,0.29545454545454547,True
when are the fa cup semi finals played,['the new Wembley Stadium'],don't know. The provided context does not mention when the FA Cup semi finals are played.,medium,2,3,,,,,False,0.65,True
when did the ipod touch 6 gen came out,"['July\xa015,\xa02015']",e iPod Touch 6th generation was announced and released in mid-2015.,medium,2,3,,,,,False,0.875,True
west ham players in the 1966 world cup,"['Martin Peters', 'Geoff Hurst', 'Bobby Moore']",don't know. The provided context does not contain information about West Ham players in the 1966 FIFA World Cup.,medium,2,3,,,,,False,0.48717948717948717,True
who sings the theme song for miami vice,['Jan Hammer'],don't know.,medium,2,3,,,,,False,0.5,True
who sings should have seen it in color,['Jamey Johnson'],"don't know. The context does not contain information about who sings ""Should Have Seen It in Color"".",medium,2,3,,,,,True,0.29166666666666663,True
who starred in the movie deep water horizon,"['Kurt Russell', ""Dylan O'Brien"", 'John Malkovich', 'Kate Hudson', 'Gina Rodriguez', 'Mark Wahlberg']",don't know. The provided context does not mention the movie Deep Water Horizon or its cast.,medium,2,3,,,,,True,0.25,True
when did justin bieber perform at madison square garden,"['August 31, 2010']",don't know. The provided context doesn't contain information about Justin Bieber performing at Madison Square Garden.,medium,2,3,,,,,True,0.20512820512820512,True
protozoan classification used to be based on their means of,['locomotion'],don't know. The provided context does not contain information about the classification of protozoa.,medium,2,3,,,,,False,0.625,True
who was the first one to migrate to madinah,['Islamic prophet Muhammad'],e provided context does not contain information about who was the first one to migrate to Medina.,medium,2,3,,,,,False,0.6666666666666666,True
ice sheets and tundra are typical of which koppen climate category,['polar'],"sed on the provided context, ice sheets and tundra are typical of the Koppen climate category Cfa, which represents a humid subtropical climate with hot and humid summers and cold winters with snowfall.",medium,2,3,,,,,False,0.48684210526315785,True
what is the size of the angles of an equilateral triangle,['60°'],don't know. The provided context does not contain information about the size of the angles of an equilateral triangle.,medium,2,3,,,,,False,0.55,True
when does beaty and the beast take place,['Rococo-era'],"don't know. The provided context does not contain information about the novel ""Beauty and the Beast.""",medium,2,3,,,,,True,0.2222222222222222,True
who sings done for me with charlie puth,['American singer Kehlani'],"don't know. The context provided doesn't contain any information about the song ""Done for Me"" with Charlie Puth.",medium,2,3,,,,,True,0.17045454545454547,True
what counties are in the 6th congressional district in ga,"['Fulton', 'DeKalb', 'Cobb']",don't know. The provided context does not mention anything about the 6th congressional district in Georgia.,medium,2,3,,,,,False,0.35,True
who was heading indian army during bangladesh libration war 1971,['Sam Manekshaw'],don't know. The provided context does not contain information about who was heading the Indian Army during the Bangladesh Liberation War of 1971.,medium,2,3,,,,,True,0.28205128205128205,True
who wrote the music for somewhere in time,['John Barry'],"don't know. The provided context does not mention the music for ""Somewhere in Time"".",medium,2,3,,,,,True,0.29166666666666663,True
who sings the marriage of figaro in shawshank redemption,"['Edith Mathis', 'Gundula Janowitz']",don't know. The provided context does not mention anything about the Marriage of Figaro being sung in Shawshank Redemption.,medium,2,3,,,,,True,0.125,True
who did chris long play football for last year,['Eagles'],"don't know, the provided context does not mention who Chris Long played football for last year.",medium,2,3,,,,,True,0.13636363636363635,True
when did harry potter and the deathly hallows come out,['21 July 2007'],"don't know. The provided context does not mention the release date of ""Harry Potter and the Deathly Hallows"".",medium,2,3,,,,,True,0.25757575757575757,True
how many episode of my hero academia season 2,['25'],e provided context does not contain information about the number of episodes in My Hero Academia season 2.,medium,2,3,,,,,True,0.09090909090909091,True
during the rebuttal section of a formal debate which team speaks first,['the affirmative team'],don't know. The provided context does not contain information about a formal debate.,medium,2,3,,,,,False,0.5625,True
when was the last amendment made to the us constitution,"['May 5, 1992']",don't know. The provided context does not mention the last amendment made to the US Constitution.,medium,2,3,,,,,False,0.45,True
starch based food to be made into plastic,['corn starch'],don't know. The provided context does not contain any information about starch based food being made into plastic.,medium,2,3,,,,,False,0.6363636363636364,True
when did north korea launch the first missile,['1984'],don't know. The provided documents do not contain information about the launch of the first missile by North Korea.,medium,2,3,,,,,False,0.6818181818181819,True
what mineral in 4 ga sandstones was dated to determine the age of the earth,['zircon'],don't know. The provided context does not mention any mineral in 4 ga sandstones that was dated to determine the age of the earth.,medium,2,3,,,,,False,0.6153846153846154,True
when is the last time a total eclipse happened in the us,"['August 21, 2017']","don't know, the provided context does not contain information about a total solar eclipse happening in the US.",medium,2,3,,,,,False,0.5,True
when did india participate in olympics for first time,['1900'],"don't know. The provided context does discuss Greece's participation in the ancient and modern Olympic Games, as well as India's participation in the modern Olympic Games, but it does not mention the first time India participated in the Olympics.",medium,2,3,,,,,False,0.5944444444444444,True
when is it revealed that luke and leia are siblings,['In Return of the Jedi'],don't know. The provided documents do not contain any information about the reveal of Luke and Leia being siblings.,medium,2,3,,,,,True,0.05,True
what is the population of farmington new mexico,"['41,629']","don't know. The provided context does not contain information about the population of Farmington, New Mexico.",medium,2,3,,,,,True,0.26666666666666666,True
what was the last year they made the gmc envoy,['2008'],don't have access to the information you're asking for. Can you please provide more context or a specific source for this information?,medium,2,3,,,,,True,0.0,True
new amsterdam was the main settlement in the dutch colony of,['New Netherland'],w Amsterdam was the main settlement in the Dutch colony of New York.,medium,2,3,,,,,False,0.6458333333333333,True
in the bible who was thrown into the fiery furnace,"['Meshach', 'Abednego', 'Shadrach']",don't know. The provided context does not mention anything about the Bible or a person being thrown into a fiery furnace.,medium,2,3,,,,,True,0.25,True
