question,ground_truth,answer,quality_tier,num_relevant,num_distractors,ragas_hallucinated,ragas_faithfulness,nli_hallucinated,nli_entailment_prob,lexical_hallucinated,lexical_overlap,ground_truth_hallucinated
where did they film hot tub time machine,['Fernie Alpine Resort'],"don't know. The provided context does not mention where they filmed ""Hot Tub Time Machine.""",high,4,1,,,,,False,0.3,True
who has the right of way in international waters,['Neither vessel'],don't know. The provided context does not contain information about the right of way in international waters.,high,4,1,,,,,True,0.05,True
who does annie work for attack on titan,['Marley'],don't know. The provided context does not mention any character named Annie or her work in the Attack on Titan anime or manga.,high,4,1,,,,,True,0.16346153846153846,True
when was the immigration reform and control act passed,"['November\xa06, 1986']","don't know, the provided context does not mention any information about an immigration reform and control act being passed.",high,4,1,,,,,False,0.6818181818181819,True
when was puerto rico added to the usa,['1950'],don't know. The provided context does not contain information about when Puerto Rico was added to the United States.,high,4,1,,,,,False,0.8181818181818181,True
who has been chosen for best supporting actress in 64 national filmfare award,['Zaira Wasim'],don't know. The provided context does not mention anything about the 64th National Filmfare Awards or their winners.,high,4,1,,,,,True,0.29545454545454547,True
which side of the white house is the front,['North'],don't know. The provided context does not contain any information about the white house or its location.,high,4,1,,,,,False,0.6111111111111112,True
names of the metropolitan municipalities in south africa,"['Mangaung Metropolitan Municipality', 'Nelson Mandela Bay Metropolitan Municipality', 'eThekwini Metropolitan Municipality', 'City of Tshwane Metropolitan Municipality', 'City of Johannesburg Metropolitan Municipality', 'Buffalo City Metropolitan Municipality', 'City of Ekurhuleni Metropolitan Municipality']",don't know. The provided context does not mention any metropolitan municipalities in South Africa.,high,4,1,,,,,False,0.7222222222222222,True
who's hosting the super bowl in 2019,"['Atlanta, Georgia']",don't know. The context does not provide information about the host of Super Bowl XLIX in 2019.,high,4,1,,,,,False,0.65,True
in which year vivo launch its first phone in india,['2014'],don't know. The provided context does not contain information about the launch of Vivo's first phone in India.,high,4,1,,,,,False,0.46969696969696967,True
where does it talk about mary magdalene in the bible,['New Testament'],"don't know, the context does not contain any information about Mary Magdalene.",high,4,1,,,,,True,0.07142857142857142,True
who carries the nuclear football for the president,['aide-de-camp'],don't know. The provided context does not contain information about who carries the nuclear football for the president.,high,4,1,,,,,False,0.6,True
what is the origin of the name cynthia,['Greek'],don't know. The provided context does not contain information about the origin of the name Cynthia.,high,4,1,,,,,True,0.05555555555555555,True
who is the guy who voiced disney channel,"['""Buzz"" Brainard', 'Cameron']",don't know. The provided context does not mention anyone who voiced Disney Channel characters.,high,4,1,,,,,True,0.1,True
what's the legal marriage age in new york,['18'],e legal marriage age in New York is not specified in the provided context.,high,4,1,,,,,False,0.6666666666666666,True
when do the red hot chili peppers tour,['March 2018'],"don't know, the context does not mention the Red Hot Chili Peppers.",high,4,1,,,,,True,0.0,True
who plays mavis in the movie hotel transylvania,"['Sadie Sandler', 'Selena Gomez']",don't know. The provided context does not mention anything about the movie Hotel Transylvania or its characters.,high,4,1,,,,,False,0.35,True
what is the channel number for cartoon network on spectrum,"['768 (HD)', '68 (SD)']",don't know. The provided context does not contain information about the channel number for Cartoon Network on spectrum.,high,4,1,,,,,False,0.34090909090909094,True
when are the fa cup semi finals played,['the new Wembley Stadium'],don't know. The provided context does not mention when the FA Cup semi finals are played.,high,4,1,,,,,False,0.65,True
when did the ipod touch 6 gen came out,"['July\xa015,\xa02015']","e sixth generation iPod Touch was announced by Apple in mid-2015 and officially released on the Apple store on July 15, 2015.",high,4,1,,,,,False,0.9642857142857143,True
west ham players in the 1966 world cup,"['Martin Peters', 'Geoff Hurst', 'Bobby Moore']",don't know. The provided context does not contain any information about West Ham players in the 1966 FIFA World Cup.,high,4,1,,,,,False,0.5256410256410257,True
who sings the theme song for miami vice,['Jan Hammer'],don't know.,high,4,1,,,,,False,0.5,True
who sings should have seen it in color,['Jamey Johnson'],"don't know. The provided context does not contain information about the song ""Should Have Seen It in Color"".",high,4,1,,,,,False,0.3333333333333333,True
